# 
# by column: 
# energy [GeV], 
# 3 sigma lower/upper limit for cutoff at z=1
# 3 sigma lower/upper limit for flat evo above z=1
# 3 sigma lower/upper limit for citoff at z=3
# all fluxes in [GeV^-1 cm^-1 s^-1 sr^-1]
# 
2.039000e+08 2.281895e-28 8.070738e-27 2.290601e-28 1.184415e-26 2.286684e-28 2.151469e-26
2.191490e+08 1.814022e-28 6.404076e-27 1.820466e-28 9.297451e-27 1.817605e-28 1.656986e-26
2.355384e+08 1.433461e-28 5.052420e-27 1.438222e-28 7.256005e-27 1.436141e-28 1.267361e-26
2.531536e+08 1.132869e-28 3.986726e-27 1.136370e-28 5.663900e-27 1.134869e-28 9.696411e-27
2.720862e+08 8.954152e-29 3.146348e-27 8.979738e-29 4.421982e-27 8.969013e-29 7.420765e-27
2.924346e+08 6.930239e-29 2.430489e-27 6.948815e-29 3.375399e-27 6.941215e-29 5.531161e-27
3.143049e+08 5.330514e-29 1.865726e-27 5.343948e-29 2.559554e-27 5.338601e-29 4.091030e-27
3.378107e+08 4.100759e-29 1.432548e-27 4.110435e-29 1.941445e-27 4.106709e-29 3.026958e-27
3.630745e+08 3.155245e-29 1.100211e-27 3.162183e-29 1.473009e-27 3.159616e-29 2.240441e-27
3.902277e+08 2.371510e-29 8.236020e-28 2.376417e-29 1.087738e-27 2.374667e-29 1.608604e-27
4.194116e+08 1.770836e-29 6.121887e-28 1.774285e-29 7.972451e-28 1.773105e-29 1.145219e-27
4.507780e+08 1.322630e-29 4.560138e-28 1.325046e-29 5.845481e-28 1.324259e-29 8.156136e-28
4.844903e+08 9.881075e-30 3.399482e-28 9.897916e-30 4.294664e-28 9.892754e-30 5.810755e-28
5.207238e+08 7.187611e-30 2.480352e-28 7.199127e-30 3.090418e-28 7.195774e-30 4.004984e-28
5.596671e+08 5.191953e-30 1.800196e-28 5.199765e-30 2.206166e-28 5.197612e-30 2.782424e-28
6.015228e+08 3.751669e-30 1.308075e-28 3.756945e-30 1.575591e-28 3.755587e-30 1.933648e-28
6.465087e+08 2.711837e-30 9.508981e-29 2.715382e-30 1.125713e-28 2.714545e-30 1.344187e-28
6.948591e+08 1.900669e-30 6.672885e-29 1.902996e-30 7.776368e-29 1.902481e-30 9.016873e-29
7.468254e+08 1.322051e-30 4.642225e-29 1.323564e-30 5.327599e-29 1.323251e-30 5.994026e-29
8.026781e+08 9.199652e-31 3.231143e-29 9.209436e-31 3.651430e-29 9.207575e-31 3.986170e-29
8.627078e+08 6.404316e-31 2.258550e-29 6.410595e-31 2.522324e-29 6.409526e-31 2.703556e-29
9.272270e+08 4.299607e-31 1.530379e-29 4.303534e-31 1.685319e-29 4.302907e-31 1.775846e-29
9.965713e+08 2.862260e-31 1.027299e-29 2.848047e-31 1.115508e-29 2.864322e-31 1.156322e-29
1.071102e+09 1.906232e-31 6.899163e-30 1.871816e-31 7.385942e-30 1.907511e-31 7.530283e-30
1.151206e+09 1.270060e-31 4.635429e-30 1.230669e-31 4.891897e-30 1.270847e-31 4.904577e-30
1.237301e+09 8.102824e-32 2.967521e-30 7.728325e-32 3.091834e-30 8.107446e-32 3.069875e-30
1.329835e+09 5.119803e-32 1.879221e-30 4.803574e-32 1.933524e-30 5.122465e-32 1.904209e-30
1.429289e+09 3.236060e-32 1.190350e-30 2.986534e-32 1.209343e-30 3.237572e-32 1.181253e-30
1.536181e+09 1.899522e-32 7.541912e-31 1.754415e-32 7.565114e-31 1.888660e-32 7.328337e-31
1.651067e+09 1.003625e-32 4.503739e-31 9.337332e-33 4.478327e-31 1.000708e-32 4.348630e-31
1.774545e+09 5.211925e-33 2.655614e-31 4.887159e-33 2.619912e-31 5.214228e-33 2.556191e-31
1.907258e+09 2.577295e-33 1.566026e-31 2.558311e-33 1.532809e-31 2.714698e-33 1.502747e-31
2.049895e+09 1.260542e-33 9.235802e-32 1.329738e-33 8.978984e-32 1.357342e-33 8.971573e-32
2.203200e+09 5.322293e-34 5.957747e-32 5.772596e-34 5.965029e-32 5.894591e-34 5.960433e-32
2.367971e+09 2.182142e-34 3.927712e-32 2.440761e-34 3.931956e-32 2.520671e-34 3.929096e-32
2.545064e+09 8.950002e-35 2.590486e-32 1.032892e-34 2.592913e-32 1.089640e-34 2.591140e-32
2.735401e+09 3.672210e-35 1.709227e-32 4.374654e-35 1.710579e-32 4.748111e-35 1.709485e-32
2.939973e+09 1.854935e-35 1.076229e-32 1.761614e-35 1.077022e-32 2.491504e-36 1.076333e-32
3.159844e+09 9.797553e-36 6.718764e-33 7.572689e-36 6.723462e-33 1.746070e-36 6.719107e-33
3.396159e+09 4.115715e-36 4.195666e-33 3.527452e-36 4.198440e-33 1.539293e-36 4.195686e-33
3.650147e+09 1.674777e-36 2.620806e-33 1.448233e-36 2.622439e-33 1.376001e-36 2.620697e-33
3.923129e+09 0.000000e+00 1.550741e-33 0.000000e+00 1.551733e-33 0.000000e+00 1.550663e-33
4.216528e+09 0.000000e+00 9.090690e-34 0.000000e+00 9.096739e-34 0.000000e+00 9.090215e-34
4.531868e+09 0.000000e+00 5.330261e-34 0.000000e+00 5.333944e-34 0.000000e+00 5.329970e-34
4.870792e+09 0.000000e+00 3.126018e-34 0.000000e+00 3.128257e-34 0.000000e+00 3.125839e-34
5.235064e+09 0.000000e+00 1.717225e-34 0.000000e+00 1.718534e-34 0.000000e+00 1.717175e-34
5.626577e+09 0.000000e+00 9.334324e-35 0.000000e+00 9.341894e-35 0.000000e+00 9.334353e-35
6.047371e+09 0.000000e+00 5.074468e-35 0.000000e+00 5.078833e-35 0.000000e+00 5.074650e-35
6.499635e+09 0.000000e+00 2.769437e-35 0.000000e+00 2.767922e-35 0.000000e+00 2.769705e-35
6.985722e+09 0.000000e+00 1.381689e-35 0.000000e+00 1.380962e-35 0.000000e+00 1.381865e-35
7.508161e+09 0.000000e+00 6.800621e-36 0.000000e+00 6.797201e-36 0.000000e+00 6.801714e-36
8.069673e+09 0.000000e+00 3.347623e-36 0.000000e+00 3.346015e-36 0.000000e+00 3.348272e-36
8.673178e+09 0.000000e+00 1.648063e-36 0.000000e+00 1.647308e-36 0.000000e+00 1.648436e-36
9.321817e+09 0.000000e+00 7.039735e-37 0.000000e+00 7.035702e-37 0.000000e+00 7.041241e-37
1.001897e+10 0.000000e+00 2.949435e-37 0.000000e+00 2.947361e-37 0.000000e+00 2.950022e-37
1.076825e+10 0.000000e+00 1.236106e-37 0.000000e+00 1.235080e-37 0.000000e+00 1.236338e-37
1.157358e+10 0.000000e+00 5.182120e-38 0.000000e+00 5.177180e-38 0.000000e+00 5.183063e-38
1.243913e+10 0.000000e+00 1.804544e-38 0.000000e+00 2.448305e-38 0.000000e+00 7.400001e-38
1.336941e+10 0.000000e+00 9.211948e-39 0.000000e+00 1.389976e-38 0.000000e+00 3.893495e-38
1.436927e+10 0.000000e+00 5.290916e-39 0.000000e+00 8.066757e-39 0.000000e+00 2.179836e-38
1.544390e+10 0.000000e+00 3.084842e-39 0.000000e+00 4.764928e-39 0.000000e+00 1.261635e-38
1.659890e+10 0.000000e+00 5.989303e-41 0.000000e+00 7.020513e-41 0.000000e+00 3.898402e-40
1.784028e+10 0.000000e+00 3.505485e-41 0.000000e+00 4.045286e-41 0.000000e+00 6.380157e-40
1.917449e+10 0.000000e+00 2.951278e-41 0.000000e+00 3.300719e-41 0.000000e+00 1.189034e-39
2.060849e+10 0.000000e+00 3.180152e-41 0.000000e+00 3.005403e-41 0.000000e+00 2.256376e-39
2.214974e+10 0.000000e+00 1.286540e-41 0.000000e+00 2.433355e-42 0.000000e+00 1.657954e-42
2.380624e+10 0.000000e+00 6.544361e-42 0.000000e+00 1.059538e-42 0.000000e+00 8.354956e-43
2.558664e+10 0.000000e+00 3.944440e-42 0.000000e+00 5.493195e-43 0.000000e+00 5.765433e-43
2.750018e+10 0.000000e+00 3.134670e-42 0.000000e+00 3.649685e-43 0.000000e+00 5.901602e-43
2.955683e+10 0.000000e+00 1.667920e-41 0.000000e+00 3.126543e-42 0.000000e+00 3.075005e-42
3.176729e+10 0.000000e+00 6.332851e-42 0.000000e+00 1.150234e-42 0.000000e+00 1.101482e-42
