Trace
Swept SA
A.10.04,N9000A
1023002862,-12.087645321016
1024502853,-12.2281527237121
1026002844,-12.3736772929915
1027502835,-12.523717312196
1029002826,-12.6833893864282
1030502817,-12.8527832400655
1032002808,-13.0402388934028
1033502799,-13.2279454050693
1035002790,-13.4184113583566
1036502781,-13.6078738783272
1038002772,-13.8113844647312
1039502763,-14.0209156510351
1041002754,-14.2306976956683
1042502745,-14.4454969068847
1044002736,-14.6537738015429
1045502727,-14.8776039126094
1047002718,-15.1036917486383
1048502709,-15.3222538347922
1050002700,-15.5350461793754
1051502691,-15.7712937777356
1053002682,-15.9902321513834
1054502673,-16.2138114041207
1056002664,-16.4478012775183
1057502655,-16.6742654010411
1059002646,-16.9052449744888
1060502637,-17.136977122924
1062002628,-17.3631903881175
1063502619,-17.5901562282986
1065002610,-17.822139235063
1066502601,-18.0450913419774
1068002592,-18.2639042864605
1069502583,-18.4782017810186
1071002574,-18.6975164421601
1072502565,-18.9047899035016
1074002556,-19.132257460341
1075502547,-19.3511958339887
1077002538,-19.5721410742697
1078502529,-19.7875674313091
1080002520,-19.9854337053068
1081502511,-20.2002329165233
1083002502,-20.4121472569544
1084502493,-20.6112678225979
1086002484,-20.8268196088019
1087502475,-21.0264418911037
1089002466,-21.2458819814098
1090502457,-21.4367242221908
1092002448,-21.6529031542177
1093502439,-21.8585460364196
1095002430,-22.0378899531765
1096502421,-22.2393572648571
1098002412,-22.4351802641314
1099502403,-22.6169551969725
1101002394,-22.8180462211593
1102502385,-22.9882816708587
1104002376,-23.1839792409685
1105502367,-23.3775445152803
1107002358,-23.5566854356651
1108502349,-23.7567730265353
1110002340,-23.9409311135034
1111502331,-24.1062748257841
1113002322,-24.3091218582751
1114502313,-24.4850016203807
1116002304,-24.6962524068988
1117502295,-24.8860548062732
1119002286,-25.0551613934913
1120502277,-25.2473469469927
1122002268,-25.4394070713296
1123502259,-25.6438846829602
1125002250,-25.8182592950908
1126502241,-26.0125771443902
1128002232,-26.2053898437146
1129502223,-26.3929345181265
1131002214,-26.6104567628737
1132502205,-26.7964962873106
1134002196,-27.0170288320079
1135502187,-27.1914034441385
1137002178,-27.404033951467
1138502169,-27.6107692880601
1140002160,-27.8089754414616
1141502151,-28.0197245113214
1143002142,-28.230222722852
1144502133,-28.4358291969639
1146002124,-28.634764122941
1147502115,-28.8515989839698
1149002106,-29.0279202248382
1150502097,-29.2517791190836
1152002088,-29.4549422011728
1153502079,-29.6676378997704
1155002070,-29.8744384276325
1156502061,-30.0837475387863
1158002052,-30.2736151294297
1159502043,-30.4969723070168
1161002034,-30.7234652137185
1162502025,-30.9346557623411
1164002016,-31.1720610063615
1165502007,-31.3904010173653
1167001998,-31.6564041109108
1168501989,-31.858062043025
1170001980,-32.0738934707371
1171501971,-32.318699035468
1173001962,-32.5444393671822
1174501953,-32.7660278193068
1176001944,-32.9693046762893
1177501935,-33.2396861363239
1179001926,-33.4471021557376
1180501917,-33.6921469245264
1182001908,-33.928787939288
1183501899,-34.1507537417935
1185001890,-34.3392299573551
1186501881,-34.6012076633626
1188001872,-34.8249294741722
1189501863,-35.0195517187984
1191001854,-35.2825328581226
1192501845,-35.5594366347154
1194001836,-35.7555640293167
1195501827,-35.9989782189659
1197001818,-36.227340908865
1198501809,-36.4544493071184
1200001800,-36.6672587806092
1201501791,-36.8692813459458
1203001782,-37.1489445641596
1204501773,-37.3064397760691
1206001764,-37.5797061068891
1207501755,-37.7710671932362
1209001746,-38.0409469366124
1210501737,-38.2655467515741
1212001728,-38.4669421710878
1213501719,-38.7439713768453
1215001710,-38.9151383676945
1216501701,-39.1221780996145
1218001692,-39.3653414309345
1219501683,-39.596588991619
1221001674,-39.8189310816182
1222501665,-40.1223004119382
1224001656,-40.2680052823769
1225501647,-40.5588316962386
1227001638,-40.7164523373127
1228501629,-41.0317374382681
1230001620,-41.2160744913986
1231501611,-41.471153593354
1233001602,-41.6561177923073
1234501593,-41.8726901407356
1236001584,-42.1493430589993
1237501575,-42.3985269902193
1239001566,-42.6331611383477
1240501557,-42.8672935698176
1242001548,-43.073329868421
1243501539,-43.416711102243
1245001530,-43.6202388175547
1246501521,-43.8710533279143
1248001512,-44.2355066613863
1249501503,-44.4453058349272
1251001494,-44.8796232130722
1252501485,-44.9732749802088
1254001476,-45.2743865855663
1255501467,-45.5198076418488
1257001458,-45.8014777266959
1258501449,-46.1002061779263
1260001440,-46.3105070681254
