,0,1,2,3,5,6,7,9,10,22,23
40,(356.94210497958846+89.89331858626855j),(-0.5124107382261843+2.9197272645682206j),(214.06530996978762+233.13188932166693j),(175.94759713544653+432.68408988451785j),(196.14523783028957-591.6374967037787j),(-224.58664387294098-408.0598890510568j),(-406.6868424020214-447.5587606685017j),(-43.76000961815877-294.973587787122j),(-146.7280643623241-247.13939125235603j),(114.68558638836733-411.95276781136494j),(-16.30447194416849-464.5521854422227j)
41,(384.1449113715194+56.30799170107446j),(-0.22505941374703586+3.158661890158807j),(249.80226545447684+215.49878459732813j),(224.40946101249386+437.2322709149165j),(119.646759126321-634.2223311696197j),(-264.68625950294376-397.3435932626258j),(-459.74081665567553-403.63913618328814j),(-80.67702168250759-303.10714893823j),(-177.9885936492986-237.88573283526068j),(67.950850124509-441.47017961073203j),(-83.22175832621092-483.0006064470444j)
42,(393.09709885881534-7.269376908295726j),(0.4481112124835498+3.2592889253220725j),(278.23537523576914+172.5769858701848j),(291.35663486605677+394.32351901520667j),(31.23509373584469-649.6309829432741j),(-347.50090660675414-332.9431058460808j),(-550.7682481751186-321.9779958553543j),(-123.65813591910144-291.8336330622743j),(-216.76313102354814-210.18619068186106j),(-11.293619820984734-467.2062966242004j),(-160.91329683716026-449.6371982010457j)
43,(414.9806479299911-52.15626611516669j),(0.79969627816047+3.2915886395231766j),(323.9517967013405+144.91594796848204j),(368.18184217749365+385.71527218610055j),(-60.46426065901461-694.97888384873j),(-414.316694895061-294.0956014884493j),(-597.5564452682196-258.005755542364j),(-176.4644583036156-280.00432213085173j),(-258.54185339686046-185.5608835231402j),(-67.48139187255951-486.36519262373247j),(-231.88142050525616-475.02202798437315j)
44,(390.49361656734015-105.35875595671106j),(1.3751212734847629+3.1934036012648765j),(326.39218641931336+109.20165324848966j),(405.7107655966536+340.75242768893696j),(-163.19873969386566-661.5620095058656j),(-456.83457824171444-236.2178093572586j),(-646.8599506857861-157.49476532080104j),(-212.14151733349956-266.03262087409314j),(-284.8849603198714-138.9911731697477j),(-153.11221270691314-454.2545458377054j),(-277.58994130190575-428.4220097327985j)
45,(375.5445950972328-171.07437586103563j),(1.998671242603911+3.044718228514868j),(349.7706747681469+56.53976789261624j),(450.22392714186424+292.3039690854918j),(-268.5880320671236-674.8819126934325j),(-492.517517847891-164.84397018751025j),(-671.059163285581-59.83390058143427j),(-252.43172462278176-221.22378970927372j),(-310.0570815754824-100.08574781602523j),(-204.9334654489412-436.7754449277159j),(-361.5175623866689-376.754851499057j)
46,(358.5258340521474-217.53605172411636j),(2.516211156273202+2.8926414522525996j),(355.7755022726095+20.176874731203995j),(474.0119609184097+228.37537231619507j),(-338.46605761127483-591.5869268775111j),(-521.3478087031787-125.41147796198112j),(-663.2987660425878+21.910605976154493j),(-285.3127152824901-192.51329815264006j),(-316.2742847221199-58.01368353789347j),(-241.54231863593867-422.67607432706575j),(-418.7136131481624-351.01942529694605j)
47,(353.1087738987494-258.9680992723493j),(2.6114123656784276+2.700660312241821j),(369.53403738507717+1.792258459340161j),(509.9762229791271+197.77144230985556j),(-410.4400197084743-604.2980992559435j),(-527.5687122076185-57.5054482240344j),(-683.9434468887806+100.57975758229819j),(-302.9349458808763-168.62529276551544j),(-339.16989022425156-28.265276365302846j),(-298.72466641888406-411.9757411245054j),(-458.10253039265353-318.11522031529523j)
48,(315.6319775043505-279.41847068059815j),(3.0157392719568192+2.4574525343746236j),(363.18593812999654-32.04966977805769j),(519.8014881219783+148.39280126763754j),(-459.3692814675895-553.3835034880362j),(-554.0389273876854-14.589420915944398j),(-679.1597150438932+184.26952281253523j),(-321.7826698160227-135.30115108869063j),(-339.1102242800737+15.978949449325912j),(-319.33021861237563-393.98710129032634j),(-479.32165798806375-270.5713542034267j)
49,(284.4906162834694-341.76714008926984j),(3.4891543000239293+1.9918222332282782j),(357.54532745981805-74.08876679998605j),(561.629095218553+93.30025987019515j),(-544.8427982231464-528.7906455716551j),(-535.6802851319007+88.46656058021107j),(-649.1632633797977+282.24745167421025j),(-362.6108785159563-90.90551555465544j),(-343.7040328487788+55.52041941223598j),(-397.5308518676701-354.7848389392265j),(-544.937686036417-201.42249050728182j)
50,(252.0278736795237-331.85704932286086j),(3.4959089131930727+1.8682530117639549j),(357.6332415388443-112.79881055110015j),(574.3539966574936+33.83252394990993j),(-545.9099034246062-464.0492983755481j),(-527.9204676046506+134.38172979719238j),(-642.2759908907273+353.05615410503907j),(-353.3553125408202-82.128615003525j),(-342.85043250663733+76.20275394044707j),(-415.1054719605157-296.1872668218465j),(-544.9152757208252-151.29646232542487j)
