!CSV A.01.01
!Keysight Technologies,P5020A,MY58100190,A.14.10.03
!Date: Tuesday, June 23, 2020 18:36:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
115385500,0.12873952,-146.68369,0.00093991612,65.120819,71.609062,-143.30649,0.57968968,-11.477951
115885000,0.13487178,-146.99759,0.001813092,-92.23378,77.698044,-140.12085,0.72587788,-18.538975
116384500,0.1234218,-146.87367,0.0010860981,56.524578,84.235397,-134.06465,0.7315433,-7.2509999
116884000,0.12609984,-148.74504,0.00030442595,162.28253,95.495125,-131.4731,0.42490295,-19.430239
117383500,0.12581627,-147.53696,0.0011864812,-52.391972,109.18452,-130.94514,0.40997657,-46.667995
117883000,0.11428186,-148.87836,0.0014064661,43.509159,127.55699,-127.90485,0.73100913,-20.671959
118382500,0.12489288,-148.42522,0.00096312648,-43.94714,146.92361,-128.05536,0.55178583,-21.766613
118882000,0.11831354,-152.17557,0.00056667288,111.87006,176.52332,-129.65347,1.1878804,-50.707001
119381500,0.11149063,-149.66823,0.00080316589,65.958763,196.99501,-133.21132,0.2525906,-28.499798
119881000,0.10483465,-147.86208,0.0011393795,51.257313,229.22887,-135.60474,0.62140328,-18.551664
120380500,0.10477402,-153.61147,0.00092234713,106.97748,269.46082,-139.31616,0.95748401,-43.27729
120880000,0.1185964,-151.84435,0.00034810149,-61.09687,300.04956,-143.69934,0.47284392,-14.480231
121379500,0.11120728,-161.71063,0.0015090946,-174.53616,346.68317,-149.71542,0.65505242,-48.072441
121879000,0.10149212,-155.81242,0.0006604435,141.63539,387.07974,-155.72508,0.43584898,-79.633774
122378500,0.11673572,-144.58638,0.0010269658,13.826126,439.56314,-161.85544,0.6549015,-71.927437
122878000,0.11997941,-157.86681,0.00092055631,-102.92419,481.62131,-167.1227,0.58983099,-41.742512
123377500,0.098967649,-154.56528,0.00043626552,150.15102,523.53894,-174.22903,0.32636535,-4.3787646
123877000,0.12013126,-159.14905,0.00067904359,-84.861938,578.13318,177.01385,0.5293619,-119.06547
124376500,0.090219416,-142.14748,0.00098526815,97.326233,621.40845,171.76157,0.36808497,1.9918027
124876000,0.14248711,-160.06914,0.0016324584,-47.419197,666.78314,162.11671,0.538764,-136.88631
125375500,0.10842189,-163.01328,0.00075419364,-93.362099,712.77448,156.4066,0.23993324,-38.037533
125875000,0.081315324,-168.15436,0.0010190301,-142.96429,749.90741,149.07568,0.17746928,13.360361
126374500,0.098139614,-134.35555,0.0011307494,107.31102,802.04083,141.71851,0.50783718,-36.33696
126874000,0.10009312,-138.12531,0.0007984899,108.47221,835.46582,134.04417,0.55949879,-55.881847
127373500,0.14461148,-154.43939,0.0012825342,25.09623,857.98389,127.15196,0.33644664,-28.883013
127873000,0.087078951,-155.75655,0.00020983235,-134.24579,893.07312,119.95847,0.61565197,-38.795181
128372500,0.026940048,-164.07767,0.0017778705,-132.98058,895.55731,112.93007,0.073840812,-35.310005
128872000,0.1354125,-157.44426,0.0011014526,44.156048,933.57001,106.46514,0.5887484,-44.548592
129371500,0.098179273,-156.39351,0.0002474481,44.036377,931.73077,100.11524,0.20501676,16.432783
129871000,0.15873666,-157.69713,0.0017084939,63.219234,955.65771,94.412888,0.44413808,-3.7970908
130370500,0.079525389,-139.53174,0.00056974369,-154.13567,950.13293,88.038841,0.13085045,80.01442
130870000,0.067435831,-108.01481,0.0016592545,-141.80759,966.04694,81.272606,0.24937727,-131.6711
131369500,0.099886581,-127.27649,0.0011399778,-176.30241,1005.1879,75.723709,0.70935535,-38.67355
131869000,0.11780213,-134.46602,0.0011312825,162.27312,1008.1822,70.277992,0.66385669,-39.849682
132368500,0.074965104,-173.4653,0.00077896257,-9.0285292,983.61914,64.108826,0.51626956,-154.90558
