!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:56:57
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
138355000,-0.074455827,-0.10372734,0.0011050999,0.0019409036,10.744115,-17.327944,-0.0012178891,-0.0054805228
139350000,-0.079906642,-0.096713461,-0.00064615917,0.00016645202,0.85025996,-20.479708,0.014095596,0.024772221
140345000,-0.092948444,-0.094570212,-0.0022449112,-0.00077752303,-9.6931429,-18.135023,0.037711482,0.004396941
141340000,-0.10153127,-0.079756938,0.00085727772,0.00045675464,-17.700562,-11.162561,0.022227688,-0.0063897963
142335000,-0.10948397,-0.069610171,0.0021919017,-3.0400337e-005,-20.968573,-0.8800053,0.01224433,0.00068427919
143330000,-0.11357807,-0.065037251,0.00061782281,0.0037247904,-18.711195,9.9104414,0.037337907,-0.033081792
144325000,-0.11268627,-0.06543956,-0.0019924047,0.0021487277,-11.213346,18.263403,0.014582998,-0.0030387745
145320000,-0.12551449,-0.044251353,-0.002696553,-0.0015623241,-1.0033633,21.524586,0.009529789,-0.018440351
146315000,-0.1165849,-0.034095831,-0.00072199601,0.00084080821,9.8605261,19.226601,-0.010015251,0.029438173
147310000,-0.1273057,-0.02858445,0.00063346024,-0.0016009901,18.03627,11.799154,-0.0010959927,-0.0022625471
148305000,-0.13027456,-0.01550662,0.00010117659,-0.0026664289,21.702698,1.5269414,0.027309692,0.032226142
149300000,-0.1143875,-0.0063960464,0.0032411308,-0.00037829205,19.823807,-9.527544,0.035609849,0.025044873
150295000,-0.13074654,0.011406336,0.0014484396,0.0027748721,12.720136,-17.753328,0.026983941,0.026011935
151290000,-0.1222982,0.025062157,-0.00022396752,-0.0013867544,2.553211,-21.965879,-0.007698209,-0.0018549217
152285000,-0.1250935,0.032708194,0.0017023301,0.0017034758,-8.4316912,-20.350021,0.0090300543,-0.0093502998
153280000,-0.11694878,0.034903821,0.003368621,0.0019992299,-17.519819,-13.473927,-0.0049837269,-0.024850426
154275000,-0.10996614,0.040759232,-0.00038276837,-2.7142047e-005,-22.013676,-3.1609931,0.042842295,0.0091810822
155270000,-0.10270666,0.06002387,-0.0022796618,-0.0029542136,-20.838032,8.0153942,0.021980539,-0.011171974
156265000,-0.10948759,0.065398924,-0.00085315661,0.0020838964,-14.659464,16.654413,-0.0077880435,0.0013459631
157260000,-0.097984046,0.079260327,-0.00088626891,0.0028413055,-4.5068164,21.731482,-0.040268805,0.016726237
158255000,-0.09238293,0.088570379,0.00078382168,0.0018121206,6.3062267,20.980703,0.0016735755,-0.030705491
159250000,-0.081213906,0.095750354,0.00015212373,0.00091760047,15.644592,15.524074,0.0093547171,0.0096535059
